Canton,Year,price_before_surcharge,renewable_surcharge,total_price
Aargau,2021,0.14976505824338274,0.023,0.1727650582433827
Aargau,2022,0.15599380814328653,0.023,0.17899380814328653
Aargau,2023,0.21251578369784455,0.023,0.2355157836978445
Aargau,2024,0.29703449758295075,0.023,0.32003449758295077
Appenzell Ausserrhoden,2021,0.1517667653732882,0.023,0.1747667653732882
Appenzell Ausserrhoden,2022,0.15550742291855923,0.023,0.1785074229185592
Appenzell Ausserrhoden,2023,0.21874798926601954,0.023,0.24174798926601954
Appenzell Ausserrhoden,2024,0.2701625012734677,0.023,0.29316250127346766
Appenzell Innerrhoden,2021,0.1461850527713165,0.023,0.16918505277131646
Appenzell Innerrhoden,2022,0.15238211947075703,0.023,0.17538211947075702
Appenzell Innerrhoden,2023,0.22002600693701874,0.023,0.24302600693701873
Appenzell Innerrhoden,2024,0.26115287190378716,0.023,0.28415287190378713
Basel Landschaft,2021,0.1574983108471753,0.023,0.18049831084717527
Basel Landschaft,2022,0.1663462105747985,0.023,0.18934621057479853
Basel Landschaft,2023,0.23264393203408426,0.023,0.25564393203408425
Basel Landschaft,2024,0.2682813398247497,0.023,0.2912813398247497
Basel Stadt,2021,0.2300614650495832,0.023,0.2530614650495832
Basel Stadt,2022,0.23681649241438343,0.023,0.2598164924143834
Basel Stadt,2023,0.2692800375807082,0.023,0.2922800375807082
Basel Stadt,2024,0.29049830076454214,0.023,0.31349830076454216
Bern,2021,0.19409333625610212,0.023,0.21709333625610214
Bern,2022,0.19291609108978267,0.023,0.21591609108978269
Bern,2023,0.20234179981565814,0.023,0.2253417998156581
Bern,2024,0.24689883151792594,0.023,0.26989883151792593
Fribourg,2021,0.1634423758944828,0.023,0.1864423758944828
Fribourg,2022,0.1637757200505926,0.023,0.18677572005059256
Fribourg,2023,0.20380616137196012,0.023,0.2268061613719601
Fribourg,2024,0.27321074745462676,0.023,0.2962107474546268
Geneva,2021,0.15935603311452512,0.023,0.18235603311452508
Geneva,2022,0.1619901111826269,0.023,0.1849901111826269
Geneva,2023,0.20410937589412176,0.023,0.22710937589412175
Geneva,2024,0.2458778146772371,0.023,0.2688778146772371
Glarus,2021,0.16744375308321993,0.023,0.19044375308321995
Glarus,2022,0.17083520557328857,0.023,0.19383520557328857
Glarus,2023,0.24993481322530728,0.023,0.27293481322530727
Glarus,2024,0.2780065582739194,0.023,0.3010065582739194
Grisons,2021,0.17239625733808517,0.023,0.19539625733808516
Grisons,2022,0.17464255984931218,0.023,0.19764255984931217
Grisons,2023,0.212972104531453,0.023,0.235972104531453
Grisons,2024,0.2668813016971917,0.023,0.28988130169719173
Jura,2021,0.19901114777791348,0.023,0.22201114777791348
Jura,2022,0.1956229311274302,0.023,0.2186229311274302
Jura,2023,0.2004237913769117,0.023,0.22342379137691168
Jura,2024,0.24405903274584614,0.023,0.26705903274584614
Lucerne,2021,0.13069584875083662,0.023,0.1536958487508366
Lucerne,2022,0.1597834849785755,0.023,0.1827834849785755
Lucerne,2023,0.24346458120672362,0.023,0.26646458120672367
Lucerne,2024,0.25177212695954415,0.023,0.27477212695954417
Neuchâtel,2021,0.16696599113721164,0.023,0.18996599113721166
Neuchâtel,2022,0.18293830973460684,0.023,0.20593830973460686
Neuchâtel,2023,0.24004780468676273,0.023,0.26304780468676275
Neuchâtel,2024,0.30044327054364695,0.023,0.32344327054364697
Nidwalden,2021,0.14540203302467386,0.023,0.16840203302467385
Nidwalden,2022,0.1452834196731624,0.023,0.16828341967316238
Nidwalden,2023,0.1533902996731624,0.023,0.1763902996731624
Nidwalden,2024,0.17600415539965814,0.023,0.1990041553996581
Obwalden,2021,0.1676208262525857,0.023,0.19062082625258572
Obwalden,2022,0.16718896856144078,0.023,0.1901889685614408
Obwalden,2023,0.2527938477308181,0.023,0.2757938477308181
Obwalden,2024,0.2528271810641514,0.023,0.27582718106415144
Schaffhausen,2021,0.1483852528845228,0.023,0.1713852528845228
Schaffhausen,2022,0.15456695707904436,0.023,0.17756695707904432
Schaffhausen,2023,0.19946209246725927,0.023,0.22246209246725926
Schaffhausen,2024,0.2546063007358144,0.023,0.27760630073581444
Schwyz,2021,0.1589631129544412,0.023,0.18196311295444118
Schwyz,2022,0.16030461649520064,0.023,0.18330461649520066
Schwyz,2023,0.2502578537396386,0.023,0.27325785373963857
Schwyz,2024,0.2828456859686447,0.023,0.30584568596864464
Solothurn,2021,0.17086418739874745,0.023,0.19386418739874742
Solothurn,2022,0.17735059927100447,0.023,0.2003505992710045
Solothurn,2023,0.2362753575275873,0.023,0.25927535752758735
Solothurn,2024,0.28356708071570574,0.023,0.30656708071570576
St Gallen,2021,0.1526169792835574,0.023,0.17561697928355743
St Gallen,2022,0.16089347999365444,0.023,0.18389347999365446
St Gallen,2023,0.22941424793346116,0.023,0.2524142479334612
St Gallen,2024,0.2737605288844462,0.023,0.2967605288844462
Thurgau,2021,0.15347230418265917,0.023,0.17647230418265913
Thurgau,2022,0.16208763284764022,0.023,0.1850876328476402
Thurgau,2023,0.21631062824583094,0.023,0.23931062824583096
Thurgau,2024,0.2713369083053195,0.023,0.2943369083053195
Ticino,2021,0.1684646893362291,0.023,0.1914646893362291
Ticino,2022,0.17343481565976068,0.023,0.19643481565976068
Ticino,2023,0.23412662658374928,0.023,0.2571266265837493
Ticino,2024,0.27355240463104274,0.023,0.2965524046310427
Uri,2021,0.16447943970063741,0.023,0.1874794397006374
Uri,2022,0.1669812174145869,0.023,0.18998121741458687
Uri,2023,0.24828369038962964,0.023,0.27128369038962963
Uri,2024,0.2679810325670498,0.023,0.2909810325670498
Valais,2021,0.14107626516999067,0.023,0.16407626516999063
Valais,2022,0.15710339164672366,0.023,0.18010339164672365
