canton,year,adoption_rate,Canton,Year
AG,2021,0.2769070859923467,Aargau,2021
AG,2022,0.26520226482024695,Aargau,2022
AG,2023,0.35139594319174405,Aargau,2023
AG,2024,0.2707781165259755,Aargau,2024
AI,2021,0.16612442078280587,Appenzell Innerrhoden,2021
AI,2022,0.3038958843911096,Appenzell Innerrhoden,2022
AI,2023,0.1925594659407609,Appenzell Innerrhoden,2023
AI,2024,0.2293802362491544,Appenzell Innerrhoden,2024
AR,2021,0.21662597240361137,Appenzell Ausserrhoden,2021
AR,2022,0.25107316162747295,Appenzell Ausserrhoden,2022
AR,2023,0.4329989184350875,Appenzell Ausserrhoden,2023
AR,2024,0.3658382263616117,Appenzell Ausserrhoden,2024
BE,2021,0.21095386583513231,Bern,2021
BE,2022,0.17044153267299564,Bern,2022
BE,2023,0.29033465210383347,Bern,2023
BE,2024,0.22198872347207768,Bern,2024
BL,2021,0.23586295572044683,Basel Landschaft,2021
BL,2022,0.14751277166854274,Basel Landschaft,2022
BL,2023,0.25775082295017027,Basel Landschaft,2023
BL,2024,0.28624634788394226,Basel Landschaft,2024
BS,2021,0.517330626744481,Basel Stadt,2021
BS,2022,0.1596489465045389,Basel Stadt,2022
BS,2023,0.1350703370981253,Basel Stadt,2023
BS,2024,0.12011861084585616,Basel Stadt,2024
FR,2021,0.19553534240685755,Fribourg,2021
FR,2022,0.1656508232544814,Fribourg,2022
FR,2023,0.25832164664266677,Fribourg,2023
FR,2024,0.24062919210574232,Fribourg,2024
GE,2021,0.4779976433302182,Geneva,2021
GE,2022,0.20527745975695547,Geneva,2022
GE,2023,0.2020851692054155,Geneva,2023
GE,2024,0.19822864686221456,Geneva,2024
GL,2021,0.4532394366197183,Glarus,2021
GL,2022,0.47169994184919556,Glarus,2022
GL,2023,0.36470200856108004,Glarus,2023
GL,2024,0.3191292060408019,Glarus,2024
GR,2021,0.32701421800947866,Grisons,2021
GR,2022,0.14246008958309406,Grisons,2022
GR,2023,0.2515129581599212,Grisons,2023
GR,2024,0.20982467669631752,Grisons,2024
JU,2021,0.25174087360202574,Jura,2021
JU,2022,0.15681426537798757,Jura,2022
JU,2023,0.2582483600701435,Jura,2023
JU,2024,0.22504410514158069,Jura,2024
LU,2021,0.2351116025895666,Lucerne,2021
LU,2022,0.14509972512082958,Lucerne,2022
LU,2023,0.31382609586002114,Lucerne,2023
LU,2024,0.23395187562582925,Lucerne,2024
NE,2021,0.22086963285625388,Neuchâtel,2021
NE,2022,0.18423757491421433,Neuchâtel,2022
NE,2023,0.3342368807584457,Neuchâtel,2023
NE,2024,0.2158315364681213,Neuchâtel,2024
NW,2021,0.3244798041615667,Nidwalden,2021
NW,2022,0.4156888108657489,Nidwalden,2022
NW,2023,0.27607361963190186,Nidwalden,2023
NW,2024,0.31975977735462136,Nidwalden,2024
OW,2021,0.17060623819756462,Obwalden,2021
OW,2022,0.14514158800666296,Obwalden,2022
OW,2023,0.2547032583397983,Obwalden,2023
OW,2024,0.2298050139275766,Obwalden,2024
SG,2021,0.27058455052548896,St Gallen,2021
SG,2022,0.19974026685233937,St Gallen,2022
SG,2023,0.2750652899001986,St Gallen,2023
SG,2024,0.261361513689606,St Gallen,2024
SH,2021,0.40275751729330383,Schaffhausen,2021
SH,2022,0.14583752599449923,Schaffhausen,2022
SH,2023,0.23657865464551256,Schaffhausen,2023
SH,2024,0.2602561468392576,Schaffhausen,2024
SO,2021,0.1652221494806578,Solothurn,2021
SO,2022,0.14280204254462825,Solothurn,2022
SO,2023,0.264985986176941,Solothurn,2023
SO,2024,0.2207446958304468,Solothurn,2024
SZ,2021,0.2367778681855167,Schwyz,2021
SZ,2022,0.1588317384370016,Schwyz,2022
SZ,2023,0.36977652381853526,Schwyz,2023
SZ,2024,0.2799646491186165,Schwyz,2024
TG,2021,0.35957032915081105,Thurgau,2021
TG,2022,0.1785756916063684,Thurgau,2022
TG,2023,0.31655960028551033,Thurgau,2023
TG,2024,0.2643892280885665,Thurgau,2024
TI,2021,0.22074062949215817,Ticino,2021
TI,2022,0.23115075010753444,Ticino,2022
TI,2023,0.42624902851357227,Ticino,2023
TI,2024,0.2712065708889016,Ticino,2024
UR,2021,0.47251506024096385,Uri,2021
UR,2022,0.27103042700076707,Uri,2022
UR,2023,0.48782941058137197,Uri,2023
UR,2024,0.23149394347240915,Uri,2024
VD,2021,0.26172824314762977,Vaud,2021
VD,2022,0.16370924769530285,Vaud,2022
VD,2023,0.21458799727047442,Vaud,2023
VD,2024,0.23977892314019572,Vaud,2024
VS,2021,0.2877511952698434,Valais,2021
VS,2022,0.17773207345546635,Valais,2022
VS,2023,0.2676154372009198,Valais,2023
VS,2024,0.23899272289408932,Valais,2024
ZG,2021,0.305114049987867,Zug,2021
ZG,2022,0.18813768099100564,Zug,2022
ZG,2023,0.2480341144712648,Zug,2023
ZG,2024,0.2401479363500746,Zug,2024
ZH,2021,0.44026145912038983,Zurich,2021
ZH,2022,0.21795024945541425,Zurich,2022
ZH,2023,0.29822041061234145,Zurich,2023
ZH,2024,0.2520942048887668,Zurich,2024
